# Qwen3-ASR S2TT 微调对照表：日文<TAB>中文（供 prepare_data.py --translator table 使用）
# 日文来源：FLEURS ja_jp（CC-BY-4.0）转写，取自 CI 的 --dump-transcripts 产物（顺序与流式读取一致）
# 中文译文：人工翻译（不经过任何机器翻译 API），因此本实验在 CI 里完全不需要密钥
# 格式：一行一对、TAB 分隔、# 开头为注释；追加数据直接往后加行即可
自分史を理解しているからといって文化を理解していることにはなりませんが 少なくとも組織の歴史の範囲内で自分が置かれた立場を理解するのに役立ちます	了解自己家族的历史并不等于理解文化，但至少有助于你在组织历史的脉络中认清自己的位置。
かくして デリー腹 ファラオの呪い モンテズマの復讐などなどの異名で呼ばれる下痢に旅行者は苦しむ	于是，旅行者会染上那种被称作“德里肚”“法老的诅咒”“蒙特祖马的报复”等别名的腹泻。
ルノ号は120～160立米の燃料を積んでいましたが 強風と高波によって船体が防波堤に押し込まれてしまいました	“雷诺”号载有120至160立方米的燃料，但强风和大浪把船体推挤到了防波堤上。
ライオン チーター ヒョウは意外に憶病なので よく見えるように双眼鏡を使うことになります	狮子、猎豹、豹子出人意料地胆小，所以你得用望远镜才看得清楚。
ゴルフとラグビーがいずれもオリンピック競技に復帰する予定です	高尔夫和橄榄球都将重返奥运项目。
白海 バルト海運河は オネガ湖 ラドガ湖 サンクトペテルブルクを経由して北極海とバルト海を結び 河川や湖が運河の一部になっています	白海—波罗的海运河经奥涅加湖、拉多加湖和圣彼得堡连接北冰洋与波罗的海，河流与湖泊也构成运河的一部分。
ピットマン氏によると 流氷の量と厚さは アザラシ漁師にとって過去15年間で最悪の状態だそうです	据皮特曼说，流冰的数量和厚度对海豹捕猎者而言是过去15年来最糟糕的状况。
保険契約書と保険会社の連絡先の写しを持ち歩きましょう	随身携带保险合同和保险公司联系方式的副本。
厳しい天候は世界のどこでも見られ その種類は地理 地形 大気の状態によって異なります	恶劣天气在世界各地都会出现，其类型因地理、地形和大气状况而异。
これは 画像が画面全体を確実に覆うようにできています これをオーバースキャンといいます	这样做是为了确保画面覆盖整个屏幕，称为过扫描。
赤外線画像を見ると 昼夜の温度差から洞窟である可能性が高いことがわかります	看红外图像就能从昼夜温差判断出那里很可能是洞穴。
荒野でのサバイバルを扱った本や雑誌は珍しくありませんが 紛争地域を扱った出版物はごくわずかです	讲荒野求生的书和杂志并不少见，但涉及冲突地区的出版物却寥寥无几。
イングランドは ダネローを再び征服した後 長い平和な時代を経験していました	英格兰在重新征服丹麦法区之后，经历了一段长久的和平时期。
歴史的には農家の大半が自給自足農業を営んでおり 発展途上国の多くでは今もその傾向が見られます	历史上大多数农户都从事自给自足农业，许多发展中国家至今仍是如此。
この夜 オベーチキンの最初のアシストは ルーキーのニックラス バックストロームが決めた決勝ゴールでした	那晚奥韦奇金的第一次助攻，成就了新秀尼克拉斯·巴克斯特罗姆的制胜球。
ピットマン氏は 来週になるまで状況は改善しないだろうと示唆した	皮特曼暗示，情况要到下周才会好转。
降水量は オアフ島の雨量計で6.34インチに達し 有益 と記録されました	降水量在瓦胡岛雨量计上达到6.34英寸，被记录为“有益”。
生徒は自分のペースで取り組むことができ 指導情報のペースをコントロールできます	学生可以按自己的节奏学习，掌控教学信息的进度。
昨年 中国は自動車輸出台数で初めてドイツを上回るとともに業界の市場規模では米国を抜き最大となりました	去年，中国汽车出口量首次超过德国，行业市场规模也超过美国成为最大。
この文書の初の公開朗読は 7月8日に独立記念館の庭でジョン ニクソンによって行われました	这份文件的首次公开宣读由约翰·尼克森于7月8日在独立厅庭院进行。
現在 aiシステムは家庭用のコンピュータやビデオゲームソフトの一部に組み込まれる一方で 経済 医療 工学 軍事の分野で高い頻度で使用されています	如今，AI系统一方面被嵌入家用电脑和电子游戏软件，另一方面在经济、医疗、工程和军事领域被高频使用。
これらの神経インパルスは 体全体に非常に迅速に送られ 潜在的な脅威から体を安全に守るうえで役立ちます	这些神经冲动会极快地传遍全身，有助于保护身体免受潜在威胁。
オーストラリアで手に入るブーメランのほとんどは 実際は戻って来ません 初心者の方は 風の強い場所では投げない方が良いでしょう	在澳大利亚买到的回旋镖大多其实飞不回来。初学者最好不要在风大的地方投掷。
ほとんどの寺院では 11月末から5月中旬にかけて毎年例祭があり 年間行事予定は寺院ごとに異なります	大多数寺庙在11月底至5月中旬之间每年举行例祭，各寺庙的全年活动安排不尽相同。
彼女は 攻撃が間近に予想されることを示唆する情報はない と述べた	她表示，没有情报显示袭击即将发生。
例えば ロワール渓谷 ライン渓谷の城を訪れたり 趣ある街並みへ向かうドナウ川のクルーズ船に乗ったり エリー運河でボートに乗るのもいいでしょう	例如，可以去参观卢瓦尔河谷、莱茵河谷的城堡，乘坐开往古朴小镇的多瑙河游船，或在伊利运河上划船。
爆弾を爆発させた疑いのある男は 爆風で負傷した後 拘留された	涉嫌引爆炸弹的男子在爆炸中受伤后被拘留。
鮫はいますが 人間を襲うことはまずありません ほとんどの鮫は人間を恐れて泳ぎ去ります	虽然有鲨鱼，但它们几乎不会袭击人类；大多数鲨鱼害怕人，会游走。
この例では 過去の起業家としての行動とその結果としての成功例を思い出すことで 地域教会の新しい変化や新しい方向性を人々が受け入れるようになりました	在这个例子中，通过回忆过去作为企业家的行动及其成功，人们开始接受社区教会的新变化和新方向。
多くの場合 音楽は高性能コンピュータで記録され サウンドの処理やミキシングがされます	很多时候，音乐是用高性能计算机录制的，并进行声音处理与混音。
見えないチーム とは 各員の上長にあたる経営陣のことです 見えないチームは 各員にとっての基準を定めます	“隐形团队”指的是每个成员的上级管理层；隐形团队为每个成员设定标准。
ドイツ軍の潜水艦はuボートと呼ばれていました ドイツ人は潜水艦の航行や操作に非常に得意のです	德军的潜艇被称为U型潜艇。德国人非常擅长潜艇的航行与操作。
祝日にまつわるいろいろな伝統がキリスト教国に住む信者以外の人々や世界中の非キリスト教徒にも受け入れられています	与节日相关的许多传统，也被基督教国家的非信徒以及世界各地的非基督徒所接受。
お花見と呼ばれる桜の花の鑑賞は 8世紀から日本の文化の一部となっています	称为“花见”的赏樱活动自8世纪起就成为日本文化的一部分。
集団内のすべての個体が特定の表現形質に関して同一である場合 それらは単形性と呼ばれます	当群体内所有个体在某一表型性状上完全相同时，称为单态性。
母語話者の人数は 言語的に非常に近い方言を数に入れるかどうかによって変わってきます	母语使用者的人数，取决于是否把语言上极其接近的方言也算进去。
月面探査機は 3つの重要な科学機器を搭載しただけでなく 本体の各面にインドの国旗が描かれています	月球探测器不仅搭载了三种重要的科学仪器，机身各面还绘有印度国旗。
旅行前にも旅行中にも 考慮しなければならないことがたくさんあります	旅行前和旅行中都有很多事情需要考虑。
自宅では その土地の細菌に常にさらされているため すでに免疫ができている可能性が非常に高いのです	在家里，由于长期接触当地细菌，你很可能已经具备免疫力。
役人が到着すると アパートが爆発しました	官员一到，公寓就发生了爆炸。
ボベックほどこのクラブで多くの出場回数やゴールを挙げた選手は他にいません	没有哪位球员像博贝克这样为这家俱乐部出场和进球这么多。
現在のティンブクトゥは その評判から観光地となっており 空港もありますが貧しい町です	如今的廷巴克图因其名声成为旅游地，有机场，但仍是一座贫穷的小城。
自分が訪れたのは本質的に巨大な集団墓地であり 世界の人口の大多数にとって計り知れないほどの意味を持つ墓地であることをお忘れにならないでください	请不要忘记，你所到访的本质上是一座巨大的集体墓地，对世界上大多数人来说具有不可估量的意义。
ハイキングとは 野外で自然環境を楽しむ徒歩旅行ですが 通常はハイキングコースを歩くことになります	徒步旅行是指在野外享受自然环境的步行旅行，通常会走徒步路线。
科学者たちは 同じようにエネルギーを生み出せる原子炉の開発に取り組んでいます	科学家们正在研发能够同样产生能量的核反应堆。
地球上で非常に希少な岩石の一部は オンス当たり11,000～22,500米ドルで取引されており これは金の価格の約10倍です	地球上一些极其稀有的岩石每盎司成交价达11000至22500美元，约为黄金价格的10倍。
降雨によっては雷雨や頻繁な雷を伴うものもありました	有些降雨还伴有雷雨和频繁的闪电。
この化石によれば 分子レベルでの証拠から 予想していたよりもずっと以前に分裂が起きていたことになります	根据这处化石以及分子层面的证据，分裂发生的时间比预想的要早得多。
朝食には 地元の旬の食材を使った料理や宿の特別料理が並ぶことがあります	早餐有时会上当地当季食材做的菜肴或旅店的特色菜。
このアドバイスは 旅行者が自分の利益のために窃盗 不法侵入 違法市場への参加 物乞い またはその他の方法で他人から搾取しないことを前提としています	这条建议的前提是：旅行者不为自身利益而盗窃、擅闯、参与非法市场、乞讨，或以其他方式剥削他人。
そうした作家たちの多くは ジョン スチュワートやスティーブン コルバートのニュースパロディ番組に大きな影響力を及ぼすようになりました	这些作家中的许多人后来对约翰·斯图尔特和史蒂芬·科尔伯特的新闻恶搞节目产生了很大影响。
太陽の中心から離れるほど ガスは希薄になります	离太阳中心越远，气体越稀薄。
現在のベルギー領の一部は過去にルクセンブルク領でしたが 1830年代のベルギー革命後にベルギー領になりました	现在比利时的一部分领土过去属于卢森堡，在19世纪30年代比利时革命后归属比利时。
addを持つ子供は 学校の勉強などに集中することは難しいものの ゲームをしたり 好きなアニメを見たり 句読点のない文章を書いたりするような 楽しいことには集中できるのです	患有多动症的孩子虽然难以专注于学校功课，却能专注于有趣的事，比如玩游戏、看喜欢的动画，或写没有标点的句子。
応援してくださる方々がいて幸せです	有支持我的人，我感到很幸福。
伝染病とは 感染者の近くにいることで感染しやすい病気のことです	传染病是指因靠近感染者而容易被传染的疾病。
彼は以前にも著作権侵害で告発されたことがありますが 起訴されませんでした	他以前也曾被指控侵犯版权，但没有被起诉。
区間バスは満員になることが多いので 数日前までに乗車券を購入しておくことをお勧めします	区间巴士常常满员，建议提前几天买好车票。
在籍期間に468試合に出場し 403ゴールを記録した	在效力期间出场468次，打进403球。
そのため 安価なズームレンズはフラッシュを使わないと低照度の状態では使いづらくなります	因此，便宜的变焦镜头在低光环境下不用闪光灯就很难用。
イースターの夜には 日の出を見るために 見通しの良い場所で夜を過ごすという伝統的な習慣があります	复活节夜里有一个传统习俗：在视野开阔的地方过夜，以便观看日出。
連合軍とアフガニスタン軍が当該区域に進入して現地の安全を確保し 支援のために連合軍のその他の航空機も派遣されています	联军和阿富汗军队已进入该区域确保安全，联军的其他飞机也被派去支援。
ガラパゴスに人が足を踏み入れて以来 ヤギ 馬 牛 ネズミ 猫 犬など多くの哺乳類が連れて来られました	自从人类踏上加拉帕戈斯以来，山羊、马、牛、老鼠、猫、狗等许多哺乳动物被带了进来。
勝者総取りの州として フロリダ州ではロムニー氏は50人の代議員を獲得したことで 共和党指名候補の筆頭候補に押し上げられました	作为胜者全得州，罗姆尼在佛罗里达州拿下50名代表，从而被推上共和党提名的领先位置。
ほとんどのテレビ番組は 大衆が喜ぶように製作されています	大多数电视节目都是为了迎合大众而制作的。
